"UserID"|"Exposuredate"|"AdvertiserID"|"Zone"|"CreativeID"|"Creativesize"|"CreativeSizeDesc"|"DomainPlacement"|"NetworkPlacement"|"DeviceTypeID"|"CampaignID"|"CT"|"CountExposures"|"Lineitemid"
"78845844"|"20170703"|"148373533"|"generalwellness/weightmanagement"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252134"
"78849457"|"20170703"|"148373533"|"mentalhealth/depression/dr"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252140"
"78859078"|"20170703"|"148373533"|"generalwellness/general"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252134"
"78951694"|"20170703"|"148373533"|"generalwellness/general"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252140"
"78987624"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355426121"
"79004573"|"20170703"|"148373533"|"womenshealth/general"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355252134"
"79053434"|"20170703"|"148373533"|"cardio/heartdisease/dr"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355252146"
"79067724"|"20170703"|"148373533"|"sexualhealth/general"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355252134"
"79146897"|"20170703"|"148373533"|"healthyliving"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252134"
"79147960"|"20170703"|"148373533"|"cardio/heartdisease"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355252146"
"79247658"|"20170703"|"148373533"|"skinhairnails/beauty"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252134"
